stars,publishedAtDate,name,text,title,subTitle,description,price,totalScore,likesCount,isLocalGuide,reviewId,categoryName,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewUrl,reviewerId,reviewerNumberOfReviews,reviewerPhotoUrl,reviewerUrl,reviewsCount,scrapedAt,state,street,temporarilyClosed,url,website,placeId,categories/0,categories/1,categories/2,categoryName.1,genre,keywords
5.0,2022-03-18T02:09:23.940Z,John Yerkes,"We’ve loved the Brookside location and were thrilled to see them open closer to home in Leawood. They’ve yet to have their grand opening, but we thoroughly enjoyed our dinner. Star of the show was the Salmon. Can’t wait for them to hit their stride.",Plate Restaurant - Leawood,,,,4.4,5.0,True,ChZDSUhNMG9nS0VJQ0FnSURXM043c2FREAE,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipNgNO--eBeUWJYGsTIdYJtmXdZAeCWDxOuiHZGq=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMIC8xH3kYyxUo7wRKuS-Jk1svTfBjx67JR_PgI=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOW3LlUzyvEHLfv0mjWz1epekCljwCHHmoK8hvt=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM4AOwE1HuE0YNWoAAn9LdLFK5z2u8eONDJy7jN=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO0XzI3wuPSVoBiaG9mCA1ED03bL6U-rBhCNdTh=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPRSKnsELunTh5WE-cvGKOgH5i3JzHnlid0vf2u=w150-h150-k-no-p,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURXM043c2FREAE!2m1!1s0x0:0x1cdfe97beb712b06!3m1!1s2@1:CIHM0ogKEICAgIDW3N7saQ%7CCgwI09PPkQYQkNPHwAM%7C?hl=en-US,110063421775106446277,104.0,https://lh3.googleusercontent.com/a-/ACB-R5RdnUEEEGaZM4qaMQlJFDDnLd3YCkmN3vOAacsm25Q=s120-c-c0x00000000-cc-rp-mo-ba6-br100,https://www.google.com/maps/contrib/110063421775106446277?hl=en-US,136,2023-03-26T09:35:29.266Z,Kansas,11655 Ash St,False,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",http://www.platekc.com/,ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,,,Italian restaurant,restaurant,"[('loved brookside', 0.5837), ('brookside location', 0.5814), ('brookside', 0.5716), ('home leawood', 0.4243), ('leawood ve', 0.4202)]"
5.0,2022-12-17T23:11:47.283Z,Veronica Kindersmith,"Went here for my husband's birthday! Everyone here was very kind and made sure to celebrate him. The food was absolutely delicious, spritz' were great, what can I say? This is one of the best upscale restaurants in Town Center Plaza.

I have to make a separate paragraph for the dessert. Nikki did a fantastic job. It's a peanut butter custard with brownie cubes and buttered pecans. One of the best desserts I've eaten!",Plate Restaurant - Leawood,,,,4.4,1.0,True,ChZDSUhNMG9nS0VJQ0FnSUNCbEpqWklREAE,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipPoay5kH4dthf5yOo_ZE7Ey6GsbSU162Qjleyr1=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOZQwxbSEDHSfvlr6oL9Zrm1g1AeeC6jAGLGm7i=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOWuso2fRJNj1FrxD_d1oybVl7tGFtNiKlPZ0iV=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNBDF48LwA3gw7SnRr6Sf_GN6uwRaLa4t8HnZZ4=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMtx3dEUWb3u5x6ykIhLl-UeLmxcr-Yl350gskc=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPkDAtkg4Opctg9gNiIjVkr0Dhauf4rRT_FoZxU=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPfpy0Rt6Ogk6YzUrzZUAJRr8_dIXJzeHtvVm1X=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMXe8qGfF322fYzHfXibnm2fj2W5TaJAxk-NXK3=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPK9v6_dJX3p78MRnM0p9fRent2-JVCNFtWq7E3=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN1_wBOQCJ0EDnX-WLxeIEQrhZOnqArj93GHU4D=w150-h150-k-no-p,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCbEpqWklREAE!2m1!1s0x0:0x1cdfe97beb712b06!3m1!1s2@1:CIHM0ogKEICAgICBlJjZIQ%7CCgwIs5n5nAYQwMiyhwE%7C?hl=en-US,112655394289111854074,89.0,https://lh3.googleusercontent.com/a-/ACB-R5QZJnG2YHIGxBR6JTWdvuUdegBLNJBfUyPAbzc-dQ=s120-c-c0x00000000-cc-rp-mo-ba5-br100,https://www.google.com/maps/contrib/112655394289111854074?hl=en-US,136,2023-03-26T09:35:29.266Z,Kansas,11655 Ash St,False,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",http://www.platekc.com/,ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,,,Italian restaurant,restaurant,"[('restaurants town', 0.4844), ('best desserts', 0.4579), ('delicious spritz', 0.4463), ('dessert nikki', 0.4402), ('spritz great', 0.4245)]"
5.0,2022-11-01T18:57:28.493Z,Norma Arnold,"DELISH!! Let’s start with the donuts. The DONUTS! The right amount of sweet and savory to let you know you’ve had a donut, but doesn’t guilt you into feeling like you can’t have anything else to eat. They were fantastic. I had the chicken and risotto. The risotto was creamy and delicious and the chicken was fried to perfection. Others in my party got biscuits and gravy, pizza, and the carbonara. Everyone said their dishes were great. The potatoes that came with the B&G got great feedback, as well. A great place to go with your girls, your fellas, or even by yourself! Check them out. You won’t be disappointed!!",Plate Restaurant - Leawood,,,,4.4,1.0,True,ChdDSUhNMG9nS0VJQ0FnSUMtMnBIZHZ3RRAB,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipN8lcJlwGh24EFKsjv0b-CmKp4wF3V6MUdjDYeM=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOiKIx0NzopCc1kOQZ6t6quRmOJIMVBuSEzxqgg=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOrT7kMCbxCFymw0ao0iUqB6UOicF49lCLPF5-T=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO3NC2GUtky0reG64q2WG_B8t78XYNUThmih_QY=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM8LMCBfmXKQx07iReaN4M6RpJqwsBY-pyeMoYW=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNMvHGI3u_qjbgG8Q0iEiqUQHrunL7pGCNugwjx=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO3gKWP9MErkxd8CgZE-bh95QEKH_AqIEITXhqv=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPuaHYpuouVVsebZRYpzUNiiHm6S7daH628UaKD=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOml_v1VwCLFWnr_scK-wx_D9REjvzOAR40ahh0=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNM2qHHtgdzrnLraXpEPTH0Ph2e7XeNpOqzwZrI=w150-h150-k-no-p,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMtMnBIZHZ3RRAB!2m1!1s0x0:0x1cdfe97beb712b06!3m1!1s2@1:CIHM0ogKEICAgIC-2pHdvwE%7CCgwImNiFmwYQgICt6wE%7C?hl=en-US,115015335883577435541,162.0,https://lh3.googleusercontent.com/a-/ACB-R5RpRJvRr8R9wFClzVLcUiZkP83dtfY79ZS9W4IMHu8=s120-c-c0x00000000-cc-rp-mo-ba5-br100,https://www.google.com/maps/contrib/115015335883577435541?hl=en-US,136,2023-03-26T09:35:29.266Z,Kansas,11655 Ash St,False,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",http://www.platekc.com/,ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,,,Italian restaurant,restaurant,"[('gravy pizza', 0.4257), ('ve donut', 0.4008), ('biscuits gravy', 0.3976), ('delish', 0.3922), ('delicious', 0.372)]"
5.0,2023-01-24T21:02:41.480Z,John Hill,"We had reservations for dinner during restaurant week and when we arrived, we were seated promptly. The restaurant was pretty full, but it wasn't too loud. Our waiter did a great job taking care of us and giving recommendations. We started with appetizers of meatballs, Pear Bruschetta and Salmon Crudo. It was a great way to start off our meal. For entrees we had Rigatoni Bolognese, Tuscan Chicken and Salmon. We shared bites and I would order any of  the other items next time I come here. I enjoyed the hand made pasta and you could tell they paid attention to details. The dessert was Tiramisu and it was ok, nothing special. Their wine and beer selection is decent. Overall, a great dinner and I recommend  to come with some friends and the night will be memorable.  I am looking forward to coming back and trying other options on the menu.",Plate Restaurant - Leawood,,,,4.4,2.0,True,ChZDSUhNMG9nS0VJQ0FnSURCbGFLa2V3EAE,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipPhH5IUv8iqBYklKApwZFLzj0YMAWRITwkgx-vo=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNCpifxqLRcTO_7hR3A0yECHDie_DX_8NdE4BIM=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN-NNdmvJLrRpU4JB-k4XzXyh5O9_AlUqNRvVxJ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOyFXTjFnGIaAycu3xIUm2FRlgJ4H5DUywyEoDg=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNsthZ9JmZ12kuHecMANMsRNZnb3MLIeFPPHqG9=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipONjKXTfOxXrcRjoFnJHH9l-U0oOMwQeuxoOsvy=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNvmWT85h_4p02criDBn_uXZzMWAl1LK7jRWNUs=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO1b0rA0LLc4vQJuOX_9_p_eeZbiqzqDUNxBT15=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMPBDPBKI9Vxdlz98MfPbeDy-K6l-_AQMW5myub=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPaPOs5wf48_0KEjG7Z9_0NVxZhMq2Tm9HvqxoR=w150-h150-k-no-p,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCbGFLa2V3EAE!2m1!1s0x0:0x1cdfe97beb712b06!3m1!1s2@1:CIHM0ogKEICAgIDBlaKkew%7CCgwI8Y7BngYQ6N_45AE%7C?hl=en-US,113993570077134406390,322.0,https://lh3.googleusercontent.com/a-/ACB-R5Q55Kale5HFmbQrvUn-1c-vf8Q8g0g5v4ca0FKOXvw=s120-c-c0x00000000-cc-rp-mo-ba6-br100,https://www.google.com/maps/contrib/113993570077134406390?hl=en-US,136,2023-03-26T09:35:29.266Z,Kansas,11655 Ash St,False,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",http://www.platekc.com/,ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,,,Italian restaurant,restaurant,"[('entrees rigatoni', 0.5277), ('dinner recommend', 0.5196), ('reservations dinner', 0.5109), ('rigatoni bolognese', 0.4684), ('bolognese tuscan', 0.4589)]"
5.0,2022-06-02T19:46:00.835Z,Tami McCracken,"My husband and I had our anniversary dinner here and it was amazing! The service from the time we walked in was incredible. They sat us immediately and the waiter was very prompt. The chef, Jeff, greeted us personally and even presented our dessert for us!
My husband had the chicken, which was flavorful and juicy. I had pasta with shrimp, which I recommend highly! We had the pear bruschetta appetizer and I would also highly recommend it!
It was a very enjoyable evening and plan to go back again!",Plate Restaurant - Leawood,,,,4.4,3.0,False,ChdDSUhNMG9nS0VJQ0FnSUNPdFBpYW5nRRAB,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipMWUu-y2u9W4Zl5ZE-cpViVbSGI5TFfjUxU9K8g=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMKom-QVLL27RJEhlifckhJPgqAWUMDrqw3f0yT=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipME1zKx7chAShqiq6p-qLi1ntOocBbkzmhz62Yx=w150-h150-k-no-p,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNPdFBpYW5nRRAB!2m1!1s0x0:0x1cdfe97beb712b06!3m1!1s2@1:CIHM0ogKEICAgICOtPiangE%7CCgwI-KbklAYQqI6hjgM%7C?hl=en-US,108691366355326983459,1.0,https://lh3.googleusercontent.com/a/AGNmyxaDo5h1XOGIA-kmIcXLRZDMWEbsaIcmncmwXLBU=s120-c-c0x00000000-cc-rp-mo-br100,https://www.google.com/maps/contrib/108691366355326983459?hl=en-US,136,2023-03-26T09:35:29.266Z,Kansas,11655 Ash St,False,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",http://www.platekc.com/,ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,,,Italian restaurant,restaurant,"[('anniversary dinner', 0.5581), ('dinner amazing', 0.4529), ('husband anniversary', 0.3914), ('bruschetta appetizer', 0.3891), ('shrimp recommend', 0.369)]"
5.0,2022-04-27T01:50:22.141Z,Jim Tompkins,Celebrated my wife’s birthday and she loved it!  Garlic bread is delicious. Smoked Manhattan is seductive.  Salads were perfect.  I had gnocchi for the first time and it was wonderful!  Salmon was superb.  Chocolate torte was very rich.  Service be Dani was attentive and great!   Great first visit.  We will be back!,Plate Restaurant - Leawood,,,,4.4,6.0,True,ChZDSUhNMG9nS0VJQ0FnSUMybmJ2TlZREAE,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipPI9df096YCoIDuaHomx3N-66-9QAajxGBc0J59=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOjicyAqYxOY-BsfufHIvxF73QeaNR5J6x-8JsL=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPnMjXbTVZ_UNRzR7F7MniY-pU79tQezDvZXMX9=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMdo43JTg16PSaNk4WYD3M0ZM4ESb3t9UywDTcZ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNMvRGK_tozk4wIkeZsSuVfoCfVFIlKcqPe4Ecy=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNirmkmSMxCJHJ1K4GFLCulOcgSw5CQBdacSPKr=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMvrZyB16LMhZDoZsZOUdVQjT9G6tckgtmMOJku=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOLo1yTtau9WeDXKPQ7E-1ZvuF91-oWBTUhEXm9=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNcyivpeETMbYStXOEKkgiR_8A5iW9dFedLnQV3=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMzPlEwh1gPFhvPlgH4XsgZLiqW63Mwp_9CxXkh=w150-h150-k-no-p,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMybmJ2TlZREAE!2m1!1s0x0:0x1cdfe97beb712b06!3m1!1s2@1:CIHM0ogKEICAgIC2nbvNVQ%7CCgsI3sKikwYQ4IqjQw%7C?hl=en-US,105282178637426215713,191.0,https://lh3.googleusercontent.com/a-/ACB-R5R1BJ9ZsHjuHksU5I4Um86L0L9kI6jWc5-pQpu5cVQ=s120-c-c0x00000000-cc-rp-mo-ba5-br100,https://www.google.com/maps/contrib/105282178637426215713?hl=en-US,136,2023-03-26T09:35:29.266Z,Kansas,11655 Ash St,False,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",http://www.platekc.com/,ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,,,Italian restaurant,restaurant,"[('celebrated wife', 0.5651), ('wife birthday', 0.5346), ('great visit', 0.4869), ('birthday loved', 0.4002), ('wonderful salmon', 0.3891)]"
5.0,2022-08-23T13:02:32.922Z,Gerould Sabin,"We had a family gathering of seven and a baby and asked for a reservation at 5:30. It seemed odd that it took a managers approval to make the reservation, but when we arrived, they ushered us into a lovely glassed in semi-private room. This was delightful! But the service and the staff exceeded everyone’s expectations, and then the food arrived! Wow!
We recommend Plate Restaurant in Leawood and will be back regularly, not just for special events.",Plate Restaurant - Leawood,,,,4.4,1.0,False,ChZDSUhNMG9nS0VJQ0FnSUR1OGVXekxnEAE,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipNgz4XurZM54V3Z0gOBuxmQKp4o_2WbkYFYF9_T=w150-h150-k-no-p,,,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR1OGVXekxnEAE!2m1!1s0x0:0x1cdfe97beb712b06!3m1!1s2@1:CIHM0ogKEICAgIDu8eWzLg%7CCgwI6J-TmAYQqMqMuAM%7C?hl=en-US,107679367002924105525,6.0,https://lh3.googleusercontent.com/a-/ACB-R5QcCV9vs4fuO9VIGf7B-VoAHKavrp_3t9yE81_Ysg=s120-c-c0x00000000-cc-rp-mo-br100,https://www.google.com/maps/contrib/107679367002924105525?hl=en-US,136,2023-03-26T09:35:29.266Z,Kansas,11655 Ash St,False,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",http://www.platekc.com/,ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,,,Italian restaurant,restaurant,"[('plate restaurant', 0.6849), ('make reservation', 0.5278), ('restaurant leawood', 0.5143), ('reservation', 0.4951), ('asked reservation', 0.4844)]"
5.0,2022-04-17T02:53:52.463Z,Jasmine B,"Fresh and well seasoned! I like the aesthetic of the restaurant as well. It’s very cool and modern, also wasn’t crowded when I went on a Saturday. It is pricey, but worth trying.",Plate Restaurant - Leawood,,,,4.4,2.0,False,ChdDSUhNMG9nS0VJQ0FnSUMyc3Z1bTdnRRAB,Italian restaurant,https://lh5.googleusercontent.com/p/AF1QipOXGb4zY8woZkOwoBN59Y5D09cbj85EywDH5ynv=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNTmleqWvY_z_UEU9BQs3IFLHI0tmIk_Ihcte7s=w150-h150-k-no-p,,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMyc3Z1bTdnRRAB!2m1!1s0x0:0x1cdfe97beb712b06!3m1!1s2@1:CIHM0ogKEICAgIC2svum7gE%7CCgwIwILukgYQoPXn3AE%7C?hl=en-US,107619315164510939089,15.0,https://lh3.googleusercontent.com/a/AGNmyxaTQjsnKJvEZvmrdcnMORdUTOziNq-Z9GzLjh3B=s120-c-c0x00000000-cc-rp-mo-br100,https://www.google.com/maps/contrib/107619315164510939089?hl=en-US,136,2023-03-26T09:35:29.266Z,Kansas,11655 Ash St,False,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",http://www.platekc.com/,ChIJrdyDO6zrwIcRBitx63vp3xw,Italian restaurant,,,Italian restaurant,restaurant,"[('fresh seasoned', 0.6342), ('fresh', 0.5398), ('aesthetic restaurant', 0.4702), ('seasoned like', 0.4444), ('seasoned', 0.439)]"
